technique_id,tactic
T1548,Defense Evasion
T1548, Privilege Escalation
T1134,Defense Evasion
T1134, Privilege Escalation
T1531,Impact
T1087,Discovery
T1098,Persistence
T1098, Privilege Escalation
T1650,Resource Development
T1583,Resource Development
T1595,Reconnaissance
T1557,Collection
T1557, Credential Access
T1071,Command and Control
T1010,Discovery
T1560,Collection
T1123,Collection
T1119,Collection
T1020,Exfiltration
T1197,Defense Evasion
T1197, Persistence
T1547,Persistence
T1547, Privilege Escalation
T1037,Persistence
T1037, Privilege Escalation
T1217,Discovery
T1185,Collection
T1110,Credential Access
T1612,Defense Evasion
T1115,Collection
T1651,Execution
T1671,Persistence
T1580,Discovery
T1538,Discovery
T1526,Discovery
T1619,Discovery
T1059,Execution
T1092,Command and Control
T1586,Resource Development
T1554,Persistence
T1584,Resource Development
T1609,Execution
T1613,Discovery
T1659,Command and Control
T1659, Initial Access
T1136,Persistence
T1543,Persistence
T1543, Privilege Escalation
T1555,Credential Access
T1485,Impact
T1132,Command and Control
T1486,Impact
T1565,Impact
T1001,Command and Control
T1074,Collection
T1030,Exfiltration
T1530,Collection
T1602,Collection
T1213,Collection
T1005,Collection
T1039,Collection
T1025,Collection
T1622,Defense Evasion
T1622, Discovery
T1491,Impact
T1678,Defense Evasion
T1140,Defense Evasion
T1610,Defense Evasion
T1610, Execution
T1587,Resource Development
T1652,Discovery
T1006,Defense Evasion
T1561,Impact
T1482,Discovery
T1484,Defense Evasion
T1484, Privilege Escalation
T1189,Initial Access
T1568,Command and Control
T1675,Execution
T1667,Impact
T1114,Collection
T1672,Defense Evasion
T1573,Command and Control
T1499,Impact
T1611,Privilege Escalation
T1585,Resource Development
T1546,Persistence
T1546, Privilege Escalation
T1668,Persistence
T1480,Defense Evasion
T1048,Exfiltration
T1041,Exfiltration
T1011,Exfiltration
T1052,Exfiltration
T1567,Exfiltration
T1190,Initial Access
T1203,Execution
T1212,Credential Access
T1211,Defense Evasion
T1068,Privilege Escalation
T1210,Lateral Movement
T1133,Initial Access
T1133, Persistence
T1008,Command and Control
T1083,Discovery
T1222,Defense Evasion
T1657,Impact
T1495,Impact
T1187,Credential Access
T1606,Credential Access
T1592,Reconnaissance
T1589,Reconnaissance
T1590,Reconnaissance
T1591,Reconnaissance
T1615,Discovery
T1200,Initial Access
T1564,Defense Evasion
T1665,Command and Control
T1574,Defense Evasion
T1574, Persistence
T1574, Privilege Escalation
T1562,Defense Evasion
T1656,Defense Evasion
T1525,Persistence
T1070,Defense Evasion
T1202,Defense Evasion
T1105,Command and Control
T1490,Impact
T1056,Collection
T1056, Credential Access
T1674,Execution
T1559,Execution
T1534,Lateral Movement
T1570,Lateral Movement
T1680,Discovery
T1654,Discovery
T1036,Defense Evasion
T1556,Credential Access
T1556, Defense Evasion
T1556, Persistence
T1578,Defense Evasion
T1666,Defense Evasion
T1112,Defense Evasion
T1112, Persistence
T1601,Defense Evasion
T1111,Credential Access
T1621,Credential Access
T1104,Command and Control
T1106,Execution
T1599,Defense Evasion
T1498,Impact
T1046,Discovery
T1135,Discovery
T1040,Credential Access
T1040, Discovery
T1095,Command and Control
T1571,Command and Control
T1003,Credential Access
T1027,Defense Evasion
T1588,Resource Development
T1137,Persistence
T1201,Discovery
T1120,Discovery
T1069,Discovery
T1566,Initial Access
T1598,Reconnaissance
T1647,Defense Evasion
T1677,Execution
T1653,Persistence
T1542,Defense Evasion
T1542, Persistence
T1057,Discovery
T1055,Defense Evasion
T1055, Privilege Escalation
T1572,Command and Control
T1090,Command and Control
T1012,Discovery
T1620,Defense Evasion
T1219,Command and Control
T1563,Lateral Movement
T1021,Lateral Movement
T1018,Discovery
T1091,Initial Access
T1091, Lateral Movement
T1496,Impact
T1207,Defense Evasion
T1014,Defense Evasion
T1053,Execution
T1053, Persistence
T1053, Privilege Escalation
T1029,Exfiltration
T1113,Collection
T1597,Reconnaissance
T1596,Reconnaissance
T1593,Reconnaissance
T1681,Reconnaissance
T1594,Reconnaissance
T1679,Defense Evasion
T1505,Persistence
T1648,Execution
T1489,Impact
T1129,Execution
T1072,Execution
T1072, Lateral Movement
T1518,Discovery
T1176,Persistence
T1608,Resource Development
T1528,Credential Access
T1539,Credential Access
T1649,Credential Access
T1558,Credential Access
T1553,Defense Evasion
T1195,Initial Access
T1218,Defense Evasion
T1082,Discovery
T1614,Discovery
T1016,Discovery
T1049,Discovery
T1033,Discovery
T1216,Defense Evasion
T1007,Discovery
T1569,Execution
T1529,Impact
T1124,Discovery
T1080,Lateral Movement
T1221,Defense Evasion
T1205,Command and Control
T1205, Defense Evasion
T1205, Persistence
T1537,Exfiltration
T1127,Defense Evasion
T1199,Initial Access
T1552,Credential Access
T1535,Defense Evasion
T1550,Defense Evasion
T1550, Lateral Movement
T1204,Execution
T1078,Defense Evasion
T1078, Initial Access
T1078, Persistence
T1078, Privilege Escalation
T1125,Collection
T1673,Discovery
T1497,Defense Evasion
T1497, Discovery
T1600,Defense Evasion
T1102,Command and Control
T1669,Initial Access
T1047,Execution
T1220,Defense Evasion
